Text,labels
ആദ്യം കേട്ടിട്ട് ഇഷ്ടായില്ല  ഇപ്പൊ വീണ്ടും  വീണ്ടും repeat,Non-sarcastic
1:07 . ezhuthi kaanichathu kondu aaranennu manasilaayi,Non-sarcastic
"Uyyantaa moneee,   ikkaa uyyyrrr",Sarcastic
K J Yesudas fans like here,Non-sarcastic
Bollywood moviyude oru feel തോന്നിയവർ ലൈക് അടിക്ക്,Non-sarcastic
rajuvettan lalletan hit kazingi ini rajuvettan mammoka hit rajuvettan ishtam🥰,Non-sarcastic
Underrated aakan pookunna adutha super malayalam padam!!,Non-sarcastic
Nice trailar soubin ikka nammale vismaipikkum.,Non-sarcastic
അടിപൊളി  ഇത് തകർക്കും.  ഓണം വരെ കാത്തിരിക്കാനും റാണിയെ കാണാനും ROYAL MECH is waiting,Non-sarcastic
ഇത് കാണുന്ന ഡ്രൈവിംഗ് ലൈസൻസ് ആകാത്ത ആളുകൾ ലൈക് അടിച്ചേ,Sarcastic
എജ്ജാതി Natural Acting... അസാധാണത്വം തോന്നാതെയുള്ള അഭിനയം.....,Non-sarcastic
Onam kayijittum kelkunnavarkk like cheyyanulla comment!!!,Non-sarcastic
"വീണ്ടും വീണ്ടും കണ്ട ഇക്കാ fans like അടിക്കുക,,,, സ്വാഗതം",Non-sarcastic
Appo raja inte anniyan prithviraj avide?,Non-sarcastic
Padam kanditte ite kanan vannavar like poduu.,Non-sarcastic
അതെ നമ്മുടെ ഏട്ടൻ .I LOVE YOU ലാലേട്ടാ ...,Non-sarcastic
Trailer last seen onnu oorthu vecho,Non-sarcastic
ഓണം ഇട്ടിമാണി കൊണ്ടുപോകുമെന്ന് ഉറപ്പിച്ചവർക്ക് ഇവിടെ like അടിക്കാം...,Non-sarcastic
"ലാലേട്ടനോട് ഉള്ള ബഹുമാനം പോയി, മരക്കാർ എന്നത് മലയാളികൾ അല്ല ശെരിക്കും ഈജിപ്ത് കാരായിരുന്നു. അതിൽ ഒരാളെ പറങ്കികൾ പിടിച്ചോണ്ട് പോയി അവരുടെ നാവികസേനയിൽ അടിമയാക്കി ജോലിചെയ്യിച്ചിട്ടു മുണ്ട്. ഇത് വെറും സങ്കല്പം എന്നും ഒരു വാദമുണ്ട്.",Sarcastic
ഇനി വാക്കത്തി കണ്ടില്ലാന്നാണോ പറയണത്..... മൂക്കുത്തി അല്ലേ അവൾടെ മൂക്കിൽ ഇരിക്കുന്നേ!!!!!,Sarcastic
ഒരു രൂപ കൊടുക്കാതെ ഏല്ലാ മലയാളം ചാനലും നിങ്ങൾക്ക് കിട്ടും .ഇത് നിങ്ങളുടെ പുതിയ അറിവ് ആണെങ്കിൽ താഴെ കൊടുത്ത ലിങ്കിൽ ഇതിന്റെ news und. ഇഷ്ടമായെങ്കിൽ ലൈക് അടിക്കുക,Non-sarcastic
Nammade trailer iniyum reach aakaan undu. Maximum time kanuka. Maximum iniyum Share cheyyuka,Non-sarcastic
നല്ല രുചിയുള്ള റെസിപ്പികൾക്കു lisas flavours കാണുക.,Non-sarcastic
ഇട്ടിമാണിക്ക് ശേഷം ഏട്ടന്റെ നെക്സ്റ്റ് ബോംബ് റെഡി 🤣🤣 എന്ത് ശോകം ട്രെയ്‌ലർ ആണ് 🤮,Sarcastic
Raja soladha seyva seyyunath mattum thaan solva,Non-sarcastic
Late ayalum latest aayee ikka varuu,Non-sarcastic
anusithaaraye kaanan veendi trailer kandavar ivide like cheythooli,Non-sarcastic
E oru trailarinu vendiyanu njan kathirunnathu powliyanu... Kiduvanu... katta massanu....,Non-sarcastic
ഒരു സംശയവും വേണ്ട പടം തകർക്കും,Non-sarcastic
THE COMPLETE ACTOR PATHMABHOOSHAN MOHANLAL  #Lucifer,Non-sarcastic
ഇക്കയുടെ സ്വന്തം അനിയന് വിജയാശംസകൾ...  Love u Dileepetta..,Non-sarcastic
Woooow.....  from Sri Lanka,Non-sarcastic
Ethra kettallum feel maratha oru sond,Non-sarcastic
Oru dubbing padathinte trailer pole.  kidu,Non-sarcastic
ഈ സോങ് തിയേറ്ററിൽ നിന്ന് കണ്ടപ്പോൾ ഉള്ള ഫീൽ.. uffff  മമ്മൂക്കാ നിങ്ങള് സൂപ്പർ ആട്ടാ 🥰🥰🥰🥰🥰,Non-sarcastic
shades vekkumbol 'Vinayakan' look ulla bobby day friend pwoli alay?,Non-sarcastic
"മരക്കാർ അറബിക്കടലിന്റെ സിംഹം"" movie katta waiting 2020 MARCH 19*",Non-sarcastic
Trailer ennokke paranjal ithanu... ejjatji item,Non-sarcastic
ഈ ഓണം ഇട്ടിച്ചനും പിള്ളേരും ഇങ്ങേടുകുവാ.. ഏട്ടന്റെ അനിയന്മാർ ലൈക് ബട്ടൺ അടിച്ചു പൊളിക്ക്,Non-sarcastic
ഇപ്പളാ ഒരു കാര്യം മനസിലായത് പണ്ടൊക്കെ എന്തെങ്കിലും സാദനം കളഞ്ഞു പോയാൽ നിന്ന് ഡാൻസ് കളിക്കും എല്ലാരും ഡൻസ്‌ kalikki 🤪🤪,Sarcastic
ഈ വണ്ടിയില്‍ നിന്ന് ചാടി ഇറങ്ങുന്ന scene പല oola പടങ്ങളിലും കണ്ടിട്ടുണ്ട്. എന്തിനാ Siddique bhai ഈ കൊല ചതി ചെയതത്,Sarcastic
Onnum than e parayanilla bgm kalakki,Non-sarcastic
Rajuaattan na miss cheyyunnu. angilum raja return pwolichu. Mommookka thakarkkum.,Non-sarcastic
ഈ സിനിമ കണ്ടിട്ട് ഷാരുഖാനറെ ഫാൻ സിനിമ ഓര്മവന്നവർ  ഉണ്ടോ,Non-sarcastic
ശ്രീനാഥ് ഭാസി ആയിരിക്കും മിക്കവാറും വില്ലൻ,Non-sarcastic
SLR pubg boys like  here,Non-sarcastic
trailer kanumbol story kku oru rajadhiraja + pokkiri raja thread ......May be oru ikka fan aayondavam: ),Non-sarcastic
KATTA WAITING  FOR  ODIYAN,Non-sarcastic
Car jump pinne vere oru jump airilude... athu vendayirunnu,Sarcastic
"പടം കിടുക്കും... ജോജു, ചെമ്പൻ, നൈല. പിന്നെ മ്മടെ വിജയേട്ടനും. . FDFS Locked",Non-sarcastic
