Text,labels
1st like Vijay Fanss Hit Likes,Non-sarcastic
Vijay sethupathi is always mass.... Avaru kaha vena poi pakalam.... Makkal selvan vijay sethupathi,Non-sarcastic
My jayam ravi anna i am waiting,Non-sarcastic
Muga moodi part 2 va irukka koodathu kadavulee!!!!!,Sarcastic
thala mass padam pakkanum pola irukae 7 days irukae,Non-sarcastic
ஒருத்தன தவிர.. மற்ற எல்லோரும் இதை கொண்டாடுறானா.... அப்ப அந்த ஒருத்தன் எவளோ மோசமானவனா இருப்பான்.. இந்த திரைப்படத்திற்க்கு உழைத்த அனைவர்க்கும் வாழ்த்துக்கள்..,Non-sarcastic
1996 larundhu Elam mariruchu thalaivar dialogue marala.....,Non-sarcastic
Happy new year  Thalaivar padam mass kata pothu,Non-sarcastic
I am a big fan of you mr. Chiyan vikram,Non-sarcastic
muhh pe madhu-makkhi kaat ke gai aise lagg rahaa he...🤣🤣🤣,Non-sarcastic
Padipa mattum eduthukida mudiyathu.. Vera Level dialogue.. Nadipula Dhanush than asuran..,Non-sarcastic
காடுவெட்டியார் ஆசியூடன் படம் வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
Trailara pathu enjoy pantu moviekaga wait pandrom padam semma.......,Non-sarcastic
Thala vanga thala I am waiting,Non-sarcastic
25k + likes views within 5mins!!,Non-sarcastic
p  I   N     K       !!,Non-sarcastic
August 8 ku..yarlam wait panranga... Nama thala ya paka,Non-sarcastic
Yuvan bgm semaya iruku...romba naal kalichu thala kuda join panadhu romba happy iruku...,Non-sarcastic
dislike pannavan ella vettu pombalayanga pavam etha mathiri porikki kuda vechi irukkurathukku,Sarcastic
Vera level trailer athuvum rajini style Vera vera level🤘🤘,Sarcastic
Adapavi matha padathula nadichinae itha epo da direct pana.. Samuthirakani,Non-sarcastic
சாதி இருக்க கூடாதுனு தான் இந்த படம். கமென்ட்ல #சாதி சொல்லி போடாதிங்க,Non-sarcastic
Peeta parakkk thalivarr marana massss trailer  Kolle ghandle irrke RAJINI ... DAAAA.....,Sarcastic
வெற்றி பெற வாழ்த்துக்கள் அனைத்து நல்ல குடும்பத்தில் பிறந்தவர்களும் கண்டிப்பாக ஆதரிப்போம்,Non-sarcastic
புளுசட்ட review பாத்து சிரிச்சவங்க like பன்னுங்க,Non-sarcastic
Super Anna பல தந்தையின் மன குமுறல்  திரௌபதி,Non-sarcastic
Intha music earkanave ketruken but niyabagam illa,Sarcastic
"I'm sk fan but vjs rombhaaaaaaaaaaaa ptikum anaaaaaaaaaaaaaaaaa ,acting Vera level",Non-sarcastic
marana waiting .......... hip hop tamizha!!!!!,Non-sarcastic
Thalavi va national award ready pannuga pa,Non-sarcastic
Semma bro 100days pakka summa areya ve therika vedru,Non-sarcastic
Dheyvame nalla story select cheythirunna aala . Iyyalum vijay cheyunnpole naadine rakshikan thudangyo. Mass padangal ellam veruppiraane,Sarcastic
Kangana as thalaivi? What a stupidity,Sarcastic
Super marana mass ngk is fire,Non-sarcastic
Hotspot on pannunga Da trailer paaka mudila net slow ahh iruku,Sarcastic
Inimae ajith fans evanadhu.... Copy adikuradha pathi pesuvenga... Anyway.. movie hit aaga vazhthukkal,Sarcastic
Joaquin Phoenix fans hit like here!,Non-sarcastic
Kavin Anna thambi like here ...,Non-sarcastic
Bgm music vikram vedha bgm mathiri iruku,Non-sarcastic
Climax ah thooka vechi keela pesuna elathukum vecham paru aapu..comali marketing pana ithelam oru polapu thuuu..ithuku vera Vela pakalam..IPA scene thookitela..pothikitu irungada,Sarcastic
Ellam nalla irunthuchu athuenna mersalpadatha paathu unaku sirippu punda,Non-sarcastic
Suriya Anna fans hit like,Non-sarcastic
Ada paavingala first part la vandha tata sumo car ah Innum ah da maintain pandrenga!!!,Non-sarcastic
Coming soon ah apa August 10 release ilaya,Sarcastic
Thala U1 once again sama sama sama,Non-sarcastic
surya ee oru movieil ninengilum oru thirichu varavundennu pratheekshikkunnu kazhinja 7 years aayi suryayude movies okke attar flop aayirunnu ithengilum surya kku kittumennu vishwasikkunnu,Non-sarcastic
thalapathy trailer erangi iruntha Saahova oda vitturupom. Ajaakunga thar perumai pesiya naasama pona kathai thodargirathu.,Sarcastic
Teaser vera levl nu sollravanga Mattum like podunga,Non-sarcastic
Idhaanda thala......🤩🤩 Kadaisiya ennai arindhal la parthathu...,Non-sarcastic
May 31st seekaram vanda nalla irukkum,Non-sarcastic
Trailer sema!!! Nunchuck scene vera level OSM!!,Non-sarcastic
Dailium trailer pakuren 5 million views ku waiting...,Non-sarcastic
Enda ivvlo naal ithathan vechi ottikitu irunthengala.. Padam semaya odum ponga 🤣🤣,Sarcastic
Siva super ahh upgrade aayirkaru...classy trailer,Non-sarcastic
Ultimate goosebump confirmed...... sekaram vaaaa thala waiting laia veri aagudu,Non-sarcastic
1:43  Thala da    By thalapathy fan,Non-sarcastic
I am sri lanka but I love youu indiaaaaaaaaaaaaa,Non-sarcastic
Super trailer  pudhumai vettrimaran Danush vettri kootani,Non-sarcastic
Video ellam vendam anna wait daaa,Non-sarcastic
சுற்றித்திரியும் மேகக் கூட்டத்தை  பற்றிஇழுத்து மழையாக மாற்றிடும் குளிா்தமிழ் கேட்டிட ஆற்றிடும் சொற்களில்  தூயதமிழ் ஒலித்திட கற்றிடும் கல்வியில் வெற்றி கிட்டிட மக்கள் தொலைக்காட்சி யை' யூ டியூப் 'ல் காணுங்கள் நன்றி,Non-sarcastic
சசிக்குமார மட்டும் எப்போ பார்த்தாலும் automatic-ah அண்ணேனு கூப்புட தோணுது,Non-sarcastic
Ratchasan music Mari eruku startngla 🤔🤔enaku matum Tha apdi thonutho,Sarcastic
Suriya fans elarum athigama comment pannunga,Non-sarcastic
குருமா பயலுக்கு செருப்படி. படம் மாபெரும் வெற்றி பெற வாழ்த்துக்கள்.,Non-sarcastic
Oatha antha scene ahla padathukku aaappu ippa remove pannratha producer solli irukkar potta payalugala,Sarcastic
Neraya neraya neraya neraya neraya!!!!!!  Vera level massssssss.... Love u thala,Non-sarcastic
ரொம்ப நாள் அப்புறம் நல்ல படம் இயக்குனர் மற்றும் தயாரிப்பாளருக்கு வாழ்த்துக்கள்,Non-sarcastic
dei TEEJAY thay***!! naduchirukaya da b**du!,Sarcastic
Seems like a good movie !!,Non-sarcastic
Dei koshwik avan enna periya ivana . Aama naan Avanathan vedaicha unakku ennada Kobam puthukkuttu varuthu,Sarcastic
ஆத்துக்குறிச்சி யாதவர் சமுதாய சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,Non-sarcastic
0.18 thala name  0.33 thalaivan u1...,Non-sarcastic
Ravi anne super super super anne kalakidiga......last-a thalaivaraium vidu vakalaiyane......,Sarcastic
Thalapathy 64 trailerku wait panuravanka like ah podunka,Non-sarcastic
Maththa sports kotukkura importance kabbadi kkum thanga please,Non-sarcastic
Idhukutha wait panitu irundha inniku iruku thala fans ku,Non-sarcastic
"Kola Maas ,Marana Maas ,Maasuke Maasee......",Sarcastic
Dei Ennada Panni vechu rukinga pink  Padam pochada,Sarcastic
NGK Teaser marana mass.....padam vera levela irrukka pogudhu....,Non-sarcastic
"Maranam massu maranam, adhukku Avan dha porandhu varanum",Non-sarcastic
Ithu 96 sema .anekama bjp rajini mandram antha scene cut pana soli porattam panuvanga padam 100 crore collection confirm,Non-sarcastic
it's look like power rangers SPD,Sarcastic
எங்க அண்ணன் சொல்லிருக்காப்ல   Repeat Mode 🤣🤣🤣,Non-sarcastic
இப்படி ஒரு படம் எடுக்க துணிந்ததற்கு பாராட்டுக்கள்.,Non-sarcastic
"2.06 ithu 96 sema,,Rajini pans thukkula thongiralam",Non-sarcastic
பன்னிரண்டு வயது வந்த உடனே நமது பெண்களுக்கு உண்மையை கூறுங்கள்.  அவர்களின்  தாயார் பெண்களுடன் நட்பாக இருங்கள்.  என்ன நடந்தாலும் அம்மாவிடம் கூற பழக்குங்கள்.   சில நேரங்களில் சட்டத்தை விட ஆன்மிகம் துணை நிற்கும் என்பதை உணருங்கள்.  எங்கள் கருப்பசாமி இதில் தேர்ந்தவர்.  இந்தப் படம் இமாலய வெற்றியடைய வாழ்த்துக்கள்.  இதுபோல் ஒரு படம் வர வேண்டும் என்று லட்சக்கணக்கான பேர் காத்து இருந்தனர் போலும்.  வெற்றி நமது இலக்கு.,Non-sarcastic
கொங்கு தேச அனைத்து கவுண்டர் வகையரா சர்பாகவும் தேவர் நாய்க்கர் செட்டியார் முதலியார் பிள்ளைமார் நாடார்   இனம் அனைத்து பிற்படுத்தபட் இனம் சார்பாக படம் வெற்றி பெற மணமார்ந்த வாழ்த்துக்கள்,Non-sarcastic
Thalaivaaaaaaaaaa Marana  masss teaser ever seen,Non-sarcastic
"Thalaivaaaaa , Love u Lotzzz",Non-sarcastic
Ithu enna varusam 2016  Naan arasiyalukku varuvadhu urudhi aai yara yemathura ithu 1996,Non-sarcastic
#Die hard fans of #Ajithkumar hit like,Non-sarcastic
August 8 aamaiyans aluga poranga  🤣,Sarcastic
வணக்கம் டா மாப்ள விழுப்புரதில இ௫ந்து படம் 100 சதவீதம் வெற்றி பெறும் வாழ்த்துகள் டா,Non-sarcastic
Idaila kgf bgm kedathu enaku madumthana 🤔🤔🤔🤔🤯,Sarcastic
தமிழன் சார்பில் படம் வெற்றிபெற வாழ்த்துக்கள்,Non-sarcastic
